,Registration_Year,Fuel type,Body type,Engine,Gearbox,Emission Class,Car_Age,Mileage_per_Year,Log_Price,Log_Mileage,Brand,Model,Car_Age_Squared,Premium_Age,Mileage_Age_Interaction,Mileage_per_Age,Age_3_plus,Age_5_plus,Age_8_plus,Engine_Age,Engine_per_Year,Mileage_Ratio,Mileage_Above_Normal,Is_New,Is_Old,Lifecycle_Stage,Is_Early_Life,Is_Mid_Life,Is_End_of_Life,Remaining_Life,Depreciation_Phase,Brand_Tier,Brand_Strength,Brand_Residual_Score,Age_Adjusted_Mileage
121,2009,Petrol,Hatchback,1.4,Manual,Euro 4,14,6642.857142857143,7.52294091807237,11.440354772135391,Vauxhall,Corsa,196,0,160.16496680989547,0.7626903181423594,11,9,6,19.599999999999998,0.09333333333333332,0.5535714285714286,-5357.142857142857,0,1,Late,0,0,1,1,0.9333333333333333,Budget,0,0.0,11.440354772135391
122,2008,Petrol,Hatchback,1.4,Manual,Euro 4,15,3407.733333333333,7.595889917718538,10.841852838728594,Peugeot,207,225,0,162.6277925809289,0.6776158024205371,12,10,7,21.0,0.0875,0.2839777777777778,-8592.266666666666,0,1,Late,0,0,1,0,1.0,Mid,1,0.0625,10.841852838728594
123,2005,Petrol,Hatchback,1.6,Manual,Euro 3,18,3833.3333333333335,7.899153483343097,11.141861783579396,Mini,Hatch,324,0,200.55351210442913,0.5864137780831261,15,13,10,28.8,0.08421052631578947,0.3194444444444445,-8166.666666666666,0,1,Late,0,0,1,0,1.2,Upper_Mid,2,0.10526315789473684,5.570930891789698
124,2007,Petrol,Hatchback,1.2,Automatic,Euro 4,16,6999.875,7.546974117516527,11.626236292974934,Nissan,Micra,256,0,186.01978068759894,0.6838962525279373,13,11,8,19.2,0.07058823529411765,0.5833229166666667,-5000.125,0,1,Late,0,0,1,0,1.0666666666666667,Mid,1,0.058823529411764705,11.626236292974934
125,2008,Petrol,Hatchback,1.6,Manual,Euro 4,15,6206.733333333334,7.598399329323964,11.441440204346032,Vauxhall,Astra,225,0,171.62160306519047,0.715090012771627,12,10,7,24.0,0.1,0.5172277777777778,-5793.266666666666,0,1,Late,0,0,1,0,1.0,Budget,0,0.0,11.441440204346032
126,2011,Petrol,Hatchback,1.6,Manual,Euro 5,12,8750.0,7.989560449333865,11.56171562913966,Ford,Focus,144,0,138.74058754967592,0.8893627407030509,9,7,4,19.200000000000003,0.12307692307692308,0.7291666666666666,-3250.0,0,1,Late,0,0,1,3,0.8,Mid,1,0.07692307692307693,11.56171562913966
127,2017,Petrol,Hatchback,1.5,Manual,Euro 6,6,7820.5,9.210340371976184,10.756263239342353,Mini,Hatch,36,0,64.53757943605412,1.5366090341917646,3,1,0,9.0,0.21428571428571427,0.6517083333333333,-4179.5,0,0,Mid,0,1,0,9,0.4,Upper_Mid,2,0.2857142857142857,5.378131619671176
128,2016,Petrol,SUV,1.6,Manual,Euro 6,7,7146.857142857143,9.2299469016151,10.820338127668798,Kia,Sportage,49,0,75.74236689368158,1.3525422659585997,4,2,0,11.200000000000001,0.2,0.5955714285714286,-4853.142857142857,0,0,Mid,0,1,0,8,0.4666666666666667,Mid,1,0.125,10.820338127668798
129,2010,Petrol,Hatchback,1.1,Manual,Euro 4,13,3461.5384615384614,7.240649694255466,10.714417768752456,Fiat,Panda,169,0,139.28743099378192,0.7653155549108898,10,8,5,14.3,0.07857142857142858,0.28846153846153844,-8538.461538461539,0,1,Late,0,0,1,2,0.8666666666666667,Mid,1,0.07142857142857142,10.714417768752456
130,2007,Petrol,Saloon,2.0,Manual,Euro 4,16,4645.3125,7.822044008185619,11.216202647866298,BMW,3 Series,256,16,179.45924236586077,0.6597766263450764,13,11,8,32.0,0.11764705882352941,0.387109375,-7354.6875,0,1,Late,0,0,1,0,1.0666666666666667,Premium,3,0.1764705882352941,3.7387342159554326
131,2007,Petrol,Hatchback,1.0,Manual,Euro 4,16,6395.5625,7.311886164077165,11.535948391727764,Vauxhall,Corsa,256,0,184.57517426764423,0.6785851995133979,13,11,8,16.0,0.058823529411764705,0.5329635416666667,-5604.4375,0,1,Late,0,0,1,0,1.0666666666666667,Budget,0,0.0,11.535948391727764
132,2008,Petrol,Hatchback,1.5,Manual,Euro 4,15,6466.666666666667,7.822044008185619,11.48246625748552,Mazda,Mazda2,225,0,172.2369938622828,0.717654141092845,12,10,7,22.5,0.09375,0.5388888888888889,-5533.333333333333,0,1,Late,0,0,1,0,1.0,Upper_Mid,2,0.125,5.74123312874276
133,2011,Diesel,Hatchback,2.0,Manual,Euro 5,12,9416.666666666666,7.575071699507561,11.635143097694478,Vauxhall,Insignia,144,0,139.62171717233372,0.8950110075149598,9,7,4,24.0,0.15384615384615385,0.7847222222222222,-2583.333333333334,0,1,Late,0,0,1,3,0.8,Budget,0,0.0,11.635143097694478
134,2014,Diesel,Hatchback,1.3,Manual,Euro 5,9,9333.333333333334,7.90100705199242,11.33857207782545,Vauxhall,Corsa,81,0,102.04714870042905,1.133857207782545,6,4,1,11.700000000000001,0.13,0.7777777777777778,-2666.666666666666,0,0,Mid,0,1,0,6,0.6,Budget,0,0.0,11.33857207782545
135,2007,Petrol,Hatchback,1.4,Manual,Euro 4,16,2687.5,7.595889917718538,10.6689553946757,Renault,Megane,256,0,170.7032863148112,0.6275856114515118,13,11,8,22.4,0.08235294117647059,0.22395833333333334,-9312.5,0,1,Late,0,0,1,0,1.0666666666666667,Mid,1,0.058823529411764705,10.6689553946757
136,2006,Petrol,Hatchback,1.4,Manual,Euro 4,17,5411.764705882353,7.24422751560335,11.429543856031176,Renault,Clio,289,0,194.30224555253,0.6349746586683986,14,12,9,23.799999999999997,0.07777777777777778,0.45098039215686275,-6588.235294117647,0,1,Late,0,0,1,0,1.1333333333333333,Mid,1,0.05555555555555555,11.429543856031176
137,2010,Petrol,Hatchback,1.2,Manual,Euro 4,13,7738.461538461538,7.313220387090301,11.518907536647776,Hyundai,i20,169,0,149.74579797642107,0.8227791097605553,10,8,5,15.6,0.08571428571428572,0.6448717948717948,-4261.538461538462,0,1,Late,0,0,1,2,0.8666666666666667,Mid,1,0.07142857142857142,11.518907536647776
138,2012,Diesel,Hatchback,1.6,Manual,Euro 5,11,9090.90909090909,8.00469951054955,11.512925464970229,Ford,Focus,121,0,126.64218011467251,0.9594104554141857,8,6,3,17.6,0.13333333333333333,0.7575757575757575,-2909.09090909091,0,1,Late,0,0,1,4,0.7333333333333333,Mid,1,0.08333333333333333,11.512925464970229
139,2007,Diesel,Hatchback,1.6,Manual,Euro 4,16,6962.5,6.906754778648554,11.62088260647532,Peugeot,207,256,0,185.93412170360511,0.6835813297926658,13,11,8,25.6,0.09411764705882353,0.5802083333333333,-5037.5,0,1,Late,0,0,1,0,1.0666666666666667,Mid,1,0.058823529411764705,11.62088260647532
140,2016,Petrol,SUV,1.6,Manual,Euro 6,7,7146.857142857143,9.2299469016151,10.820338127668798,Kia,Sportage,49,0,75.74236689368158,1.3525422659585997,4,2,0,11.200000000000001,0.2,0.5955714285714286,-4853.142857142857,0,0,Mid,0,1,0,8,0.4666666666666667,Mid,1,0.125,10.820338127668798
141,2019,Petrol,Hatchback,1.3,Automatic,Euro 6,4,15600.5,9.674074388208323,11.04135260512594,Mercedes,A Class,16,4,44.16541042050376,2.208270521025188,1,0,0,5.2,0.26,1.3000416666666668,3600.5,0,0,Early,1,0,0,11,0.26666666666666666,Premium,3,0.6000000000000001,3.6804508683753134
142,2010,Petrol,Hatchback,1.6,Manual,Euro 5,13,9230.76923076923,7.170119543449628,11.695247021764184,Citroen,C3,169,0,152.03821128293438,0.8353747872688703,10,8,5,20.8,0.1142857142857143,0.7692307692307692,-2769.2307692307695,0,1,Late,0,0,1,2,0.8666666666666667,Mid,1,0.07142857142857142,11.695247021764184
143,2006,Petrol,Saloon,3.1,Automatic,Euro 4,17,5588.235294117647,8.354674261918463,11.461632170582678,Audi,A6 Saloon,289,17,194.84774689990553,0.6367573428101488,14,12,9,52.7,0.17222222222222222,0.4656862745098039,-6411.764705882353,0,1,Late,0,0,1,0,1.1333333333333333,Premium,3,0.16666666666666666,3.820544056860893
144,2007,Petrol,Hatchback,1.3,Manual,Euro 4,16,1730.125,8.00603417874901,10.228537661456649,Toyota,Yaris,256,0,163.65660258330638,0.6016786859680382,13,11,8,20.8,0.07647058823529412,0.14417708333333334,-10269.875,0,1,Late,0,0,1,0,1.0666666666666667,Upper_Mid,2,0.11764705882352941,5.114268830728324
145,2007,Petrol,Hatchback,1.6,Manual,Euro 4,16,5618.75,7.822044008185619,11.406453220459712,BMW,1 Series,256,16,182.5032515273554,0.6709678364976301,13,11,8,25.6,0.09411764705882353,0.46822916666666664,-6381.25,0,1,Late,0,0,1,0,1.0666666666666667,Premium,3,0.1764705882352941,3.8021510734865704
